content	lable
너무 마르면 할때 너무아파 ㅠㅜ	0
박한별 연기 졸라못하네	0
4.15 부정선거로 당선된 놈들이 어떻게 저렇게 파렴치할 수가 있는가? 부끄러움도 모르나?	1
진심 궁금해서 그러는데 러시아가 만든 백신 맞을수 있는 사람 손들어봐ㅋㅋ	1
그 힘든 시간 팬들 위해서 앞만 보고 달린거 알아! 강다니엘 걱정마 우리 아직 그대로 있어! 무대 얼른 보고 싶으니까 얼른 무대 보여줘 강다니엘답게 멋있게!	1
엄마 인터뷰만 나가고 전 연인 인터뷰는 안나가니까 한쪽으로 쏠리지~전 연인이라도 사귄 기간만큼은 소중했을텐데언론이 맨 날 그렇지뭐 이슈가 되니까 찍는거구	1
성형했냐? 눈깔이 다르네	0
조센일보 사주일가 장자연 사건이나 기고해라 조센일보야	0
벙.신같은게 프로토가 어째 단폴만되냐?개.벙신아 무슨 사설하냐?	0
그러게 우리 언냐들 뭐가 그렇게 불편했긔? 쿵쾅거리는 것들이 지들이 악플 써놓고 자살하니까 편히쉬세요 ㅇㅈㄹ하는거 역겹더라	0
기대합니당 몽이 행님	1
이해하고못하고를 떠나서 솔직히 기대보단 노잼임	1
수입차나 국산고급차 살 돈이 없다. 7년된 싼타페 바꾸고 싶은데 5년은 더 타야할듯 ㅠ	1
정유진 기자 여시쭉빵워마드 하나보네. 스포티비 관계자들은 예의주시 하시오	0
연출만 잘했을 뿐이지 내용은 황후급 막장중에 막장...저런 자극적은 막장 드라마 그만보고 남자친구 한번 봐보세요 힐링이 뭔지 명품드라마가 뭔지알게됨	0
엘지는 분발좀 해라 최소 국내30. 세계 10 는 찍어야 하는것 아닌가	1
팩트는 저 박사방놈이 일베인게 팩트로 밝혀졌잖아(일베가입 노무현 대통령 조롱 노알라사진등) 한심한 박사모야	0
그래도 욕은 하지마라.. 니들 모르게 썩은재료에 위생더러운 음식점이 얼마나많은데.. 차라리 맛없는게 낫지	1
좆같은걸좆같다말도못함?	0
애초에 이런걸 왜보고있는지 이해가 안간다.. 먹방도 마찬가지고.. 다들 한가한가보다	1
설계자? 뭔 떳따방이냐... 설계하게그리고 뭘 설치했는데...? 방송국에서 다하고뭘 누가 어떻게 설계했는데? 기자야 말장난 좀 그만해라... 징그럽다. 니들의 이런 기사...	0
이던현아 커플 진심 부럽고 이쁘고 응원해요	1
멋있기만 하구만.이러다 헤어지면 헤어지는거지뭐.연예할때 맘껏 즐기는거 보기 좋은데.내숭보단 훨씬 낫다.화이팅!!	1
이걸로 조현씨가 상처받을꺼 없어요 상처입는건 되려 욕한 쿵쾅이들이 더 받을듯 ㅋㅋ 쿵쾅이들아 너희가 거울보니 돼지만 있어서 열받드나?	0
그냥 ㅂㅅ	0
천한 것	0
모쏠들 천국인가 남녀사이에 친구가 없긴뭐가없어 니들핸드폰에는 이성전화번호하나도없냐?남사친 여사친?남녀사이에 친구가 될수없는경우는 사겼다가 쫑난상태에서는 절대친구가 될수없다가 맞지ㅎㅎ	0
진짜 수고는 보건소 직원들과 병원 의사 간호사들이 하는거 아냐? 제들은 숫자 통계. 오라가락 방역지침 말고 뮈 한게 있어?	1
네이버 출신 윤뭐시기 의원 말해봐 이 병X 색캬	0
설리 엄마보고 최자엄마인줄 알았다. 어떻게 그리 닮은건지..설리가 너무 불쌍해서 마음이 저리다.설리도 구하라도 엄마의 부재가 얼마나 정신적 공허함을 주는지 느꼈다. 엄마란 정말 중요한 존재구나.	1
이야~~~아니 도대체 공안밀실에서 무슨일이 있었길래 하루아침에 안하던짓을 하노+ㅁ+먼훗날 영화소재로써도 되겠네 ~'공안밀실스캔들'	0
항문혈관 그사람?	0
미친 논리	0
김제동 역겨워 저런인간이 7억 연봉 지나가는 개가웃을일..선동 꾼 시청룬 1프로로 부끄럽지도않냐? 7억이	0
어차피 우승후보들은 다음월드컵이면 조별리그 탈락인 징크스 있습 독일도 이 징크스 못 깰듯	1
야이 호구들아 이익 안남게 9000 원 했겠냐? 등신들많네 ㅋㅋ ㅋ 한심하다	0
누군가한마디 나서주길 바랐는데 요즘 분위기가 분위기인지라 어느누구도 함부로 나서지 않는 모습을 보고 평소팬은 아니었지만 기안84도 안타까웠는데 속이 시원하네요! 이렇게 따지면 영화는 안걸리는 영화 어디있겠습니까? 훨씬 자극적이고 선정적인 영화는 작품이라고 보고 왜 이거는 국민청원까지 가야하는건지~ 사실 공감할수없네요 적당히 했으면 좋겠어요	1
난 첨부터 예원 응원했음~ 예원 응원하는 사람들 많으니까 화이팅!! (악플다는애들은 소수고 인생낭비자들이니 신경쓰지마삼)	1
신수지 겁나이쁜데 얼굴몸매ㄷㄷ 부럽다	1
좀 오바좀 하지말자~	0
믿고보는 남궁민!	1
장미희ㅜ집에서 일하는 아줌마는 원상탸로 돌려놔라 ... 너무 억지다.! 큰딸은 결국 팀장하고 결혼하겠지만 ... 그 찌질이 남자 엄마행동도 너무 오버다.	1
보내줄꺼 보내주고 이제 시작하는일에 더 집중하는게 맞지 뭘 ㅋㅋㅋ 시발	0
조보아 표정 귀엽기만 하구만 뭘	1
행복하게 사세요...	1
조세호는 승무원도 하고 군대도 가고 바쁘네	1
꿀잼 아이유 연기 꿀잼	1
여자아이돌 죄다 일진 양아치 꼴초 냄비임	0
나도 휴가연장 전화로 했어요~	1
저기.....시진에 ㅈㄹ말고 직접와서 해봐	0
악플 캡쳐 완료	1
오늘도 우리회사 노가다 2명 집에감 힘들거같다고개새끼 노가다새끼들이 편한거 할 생각이나 하고 있으니노가다가 괜히 노가다냐	0
미씨 원탑을 까노	0
나라면 자핑이랑 사귐	1
장백지 남자 밝히는걸로 엄텅유명한데 ... 색녀다 색녀	0
미친	0
연예인이 잘벌긴하지 물론 많이 기부할수있을만큼 잘벌지 그렇지만 기부했다는 자체가 의미가있지않나욕들을 정돈 아닌거같은데 훨씬 많이 벌어도 기부 안한 연예인들이더많은데	1
사정이 있겠지.	1
깡패색히.	0
쟤가 인기있었던 이유도 모르겠고 딱히 재주도 없고 재미도 없고 얼굴도 안이쁘고 뭐하나 잘하는거 없던데 저런거 보고있음 시간낭비 아님???저런애들한테 좋아요 눌러준 사람들이 제일 한심하다.	1
나이가 많지도 않은데 더럽게 사업하는건 어디서 배웠나... 양현석한테 배웠나?	0
현주 힘내라!! 응원한다!!	1
이미지 전환시킬려고 막무가네 기사올리더만 결국 하나 건졌네 ㅊㅋ	1
찌질한 한국 천것들 남의 결혼기사에 또 댓글 놀이지? 니들보단 능력좋고 잘사는 사람이니 걱정은 니들 버어러지 인생 에나 하거라 ㅋㅋㅋ	0
부동산 주식에 대한 과세 터무니 없다는 호소는 안들리고... 윤미향 조국 추미애 자르라는 호소도 안들리고... 뉴딜펀드로 세금 바닥낼 생각 말라는 호소도 안들리고.... 공공의대로 제2의 조민 만드는거 그만두라는 호소도 안들리고....	1
돈 안내줘도 되니깐 그냥 세금이나 올리지말라고	1
동백꽃이 얼마나 재밌었는지 알겠다	1
탈 코르셋이니 어쩌니 하면서 여자를 사회적 틀속에서 꺼내달라더니 이혼남이랑 결혼 왜하냐고 하네ㅋㅋ 아니 이혼남이 무슨상관이고 여자는 조신하게 돈많은사람은 무조건 걸러야함? 진짜 외모지적하는거보면 역겹네.	0
19세 웹툰에 더럽게 의미 부여하네ㅋㅋㅋ 미성년 섯관계 장면 나온적도 없는데ㅋㅋ 어휴 패미 패미 거리는 새키들 개 극혐ㅋㅋㅋ 패미 외치는 시장 성추행후 자살 하고 패미 거리는 대통령이 야동 SNS올리고 패미 적당히해 ㅉ	0
여잔데도 잘모르겠다 이게 이렇게까지 할일인지 선택은 본인이하는거고 보기싫음 안보면되지	1
기명이 친화력 개오지네	1
와 진짜 새우까지 넣으면 그냥 식당에서 파는거임 꼭해보세요	1
양아치네 일본놈들	0
윤아 가승 D컵은 되겠다	0
에휴 개돼지들 무혐의 나오니까 바로 태세전환하죠 이러니 결과가 나올때까지 기다려봐야한다니까	0
난그래도 이태임 좋아	1
쓰레기 쥐새끼와 닭년도 대통령하는 마당에 윤서빈이 어때서?ㅉ	0
지려라.	0
좆같이생긴새끼가 화나서 이지랄하면 현실에서 진짜존나처맞지ㅋㅋ	0
권력기관들이 온통 공익제보자를 잡으려 혈안이 됐군. 5공화국 시즌 2!	1
본인은 이 상황이 얼마나 힘들까요. 아이들 위해서 돈은 벌어야되고 한국에선 안되겠고 물의를 일으키고 온 자신을 일본에선 어떻게 받아줄까 많이 두려울겁니다. 슈를 좋아하진 않지만 그냥 응원해줍시다.	1
아무리 확실한 증거가 있고 사실로 밝혀지더라도 사적응징은 무법자나 할짓이다	1
여자가 아깝지	1
돈 엄청 벌었죠. 대기업만 다니던 사람임	1
근데 신소율이 뭐하는 사람이죠???	1
근데 가왕급으로 배치될급인가..?	1
짱개새끼들 미리 만들어놓고 코로나 퍼트리고 여기까와서 이제 푸는거아녀?지그나라 대단한 나라라고?	0
시스템은? 다 지 좆꼴리는대로 무법천지지	0
이때다싶어서최율이 이름알릴려고 저러는듯 실제성추행당했다는증거있냐???	0
버닝썬 성폭행범은 어찌됐나요	1
누가 머라해도 이번코로나 사태는 의료진 말 안듣고 에어컨바람 쉬며 입만 나불거리는것들 이 문제가 더있는것같다 좌파들아 고집부리지말고 직접현장에서 죽을고생하는 의료인들 말들어라 !	1
솔직히 남자들 사이에서 저런거 올리면. 욕하기도 그렇고 좀. 가만있게 될거같다. 로이킴은 위에놈들과 같진 않을거같은데. 슈퍼스타k 우승상금 5억 바로 전액 기부하고 좋은놈 같던데. 봐야알겠지만 참. 억울한 사람들도 여럿 나올듯	1
정준은 너무 짜증남 지맘대로	1
좌빨들은 남핑게로 먹고 사는듯 ! 좌빨 = 중2이병 = 재앙이 = 좃국 ㅋㅋ이거이거 모르면 간첩	0
이야 이나라에 아니 이 네이버에 이리도 많은 도덕적으로 완벽한 성인군자들이 존재하다니 참 멋집니다요~~~~	1
대체 누가 인성 문제있고 왜 4번은 개인주의인지... 훈련인데 대체 왜그렇게 인기있는지 궁금해서 오늘 봐본다	1
재앙이다 진짜	0
사진보고 깜놀~! 우리 와이프인줄 알았음	1
결국 승자는 핑클이네..ses 빠돌이들 다 대가리 박아라..ㅋㅋㅋ	0
진짜 너무 힘들다 진짜 무례한사람이 나보다 더 멘탈도 강하고 말도 쎄게해 난 피해를 받고도 아무 대처도 자기방어도 하지 못하는 내가 너무 화까지 난다	1
올해 헬창들의 최고 운동 동기부여 영상🔥🔥🔥🔥🔥	1
아이언맨 나타샤가죽다니k토르도망가지고아직도여운이 강하게남는다	1
친일파들 많네	0
이상화 하지 마라 윤세아나 수임이나 착한척하다가 돌변하는것 보면 무섭지... 의심하면 안돼요 하다가 예서랑 혜나 싸우고 예서 협박 받았다니까 바로 예서 범인이라 생각하던데 ㅉㅉ	1
불편해 보여요....T.T	1
중딩 같지 않은디? 그냥 쥐좆만한년 데려다 컨셉질 아녀?	0
와 소름이다얼마전 까지 악플쓰던 쿵쾅이 년1들태세전환 하고 글쓰는거 보면 소름 돋네	0
친정오빠도 알콜중독으로 저세상으로갔다 오빠아들인 조카도 뛰아나게 공부를잘해 ㅇ박사과정을 공부중인데 이글을보니 조카생각이 많이나는군요	1
메이웨더는 순 깜둥이인데 잘생긴편이고목소리도 ㅈㄴ 멋짐자기 직업벌이에 프라이드도 높은편이고무엇보다 엄청 노력하는 편이지그래서 멋있음	0
나이가 ? 넘 어려보이셔서...	1
애미뒤진 흑재앙짱깨콜라보집단ㅋㅋㅋ 지들 빨개벗고 목화따던 면역력이랑 어디 같은줄알아 안경을 뿌셔벌라	0
지랄염병하고 있네	0
문죄인 임기가 다른 대통령보다 3배이상 더긴듯..시간이 안가 ㅆ부레	0
무난하게 보기 좋은 영화입니다.	1
이분참 SNS 심하게 즐기네 나중에 상처받을라	1
짱깨 새끼들 때문에 지금 전세계 경제가 초토화 인데 코로나 끝나고 어떻해 나오나 보자 썅것들	0
이엘리야 매력있음	1
쌍판떼기 열화된 꼬라지 좀 봐라. 착한 외도 ㅇㅈ합니다 ㅠㅠ	0
헐...그렇다고 이런 선정적인 기사가...대단하다	1
수준이 딱 산적두목인데 현대인이 맞긴 맞냐 ? 진짜 머리가 진화가 덜됐냐 ? 존나 미개하네 저런 나라를 한나라로 인정하고똥꼬 빨아대는 문재인 더이상 국민앞에 쇼 하지마라 진짜 자존심상한다 역겨운 문재인	0
핀란드는 1985년생인 여자가 총리 한다면서?	1
G80 GV80 결함 유튜브서 검색하면 차고넘침.	1
더럽다 고인의 일기장까지 노출시키는 쓰레기같은 인간들	0
이건 몇번봐도 재밋음 영화한편본듯 ㅋㅋ	1
에휴 여편네가 얼마나 못났으면 종국이가2년동안 집을 두번들어 왔겠냐 똑같지뭐 성격파탄자들	0
이나영 보며 이쁘다..이쁘다..역시이쁘다..어쩜 저리 하나도 안변하고 아이낳고두 이쁠까...감탄만하느랴 무슨내용인지 눈에안들어옴 ㅜ 내일부터 다시집중해야겠어요ㅋ근데 스카이캐슬은 오늘 초집중ㅠ 미첬음 ㅜㅜ	1
야이 기레기 새끼야 제목 똑바로 안쓰냐??	0
주사 같이 맞아주는 거 보고 더 반했자녀...❤️ 아니 황민현 당신 대체 언제까지 다정해질 예정이야 !!	1
강원래 한동안 엄청 까였었는데 이제는 좋아해주는가보네?	1
나이도 많이 쳐 먹은 늙은 송중기가 뭐가 순수함 ㅋㅋ 확실하지도 않는 찌라시 내용으로 또~ 여자 연예인 머리채만 오지게 쳐 잡죠~?	0
일베에서 살인자는 존나 빨면서 노가다는 성역이노 엌ㅋㅋ	0
하나경 뭔가 억울해 보이긴하더라	1
나도해주라 병신천지 씨벌것들아	0
윤진이 배우 김예원(써니에서 반대 패거리 리더)하고 많이 닮았네	1
대깨문 🐕 가 트ㄴ ㅅ ㅔ ㄲ ㅣ들 이런것들은 인간도아니다.	0
펭수 하는짓거리가 페미니스트네 씨발 좆만한새끼가	0
바이러스 짱깨 지들끼리 치료제 처맞고 사재기 부추기고 아 짜증난다.	0
어렵지만 액션이 좋아서 볼만했습니다 150분인데 루즈함이 느껴질틈이없었어요	1
비싸게 판게 아니라 정가에 파는게 뭐가 문제냐? 게이는 무슨일 하길래? 지인한테 싸게 사려는 기생충 집단이 되지말고 이왕 같은가격이면 지인을 도와준다는 마음으로 사주는 리더 집단이 되어보자 가령 식당가서 사장이랑 친하니까 깍아달라 노가다 뛰는데 친하니까 일당좀 깍아서 해달라고 하는거나 마찬가지임. 친구는 자신의 일에 자부심을 갖고 일하는것 같은데 뒤에서 욕하진 말자 진심으로 대하면 언젠가는 다 돌려받는다 게이야	0
논란이잇엇던 슈퍼맨이 화제 인기프로로만들엇든게 쌍둥이때문인데 프로가 인기가잇으니깐 어느 대한민국만세인지 매국 금수저 못생긴삼둥이가 처나와서 밥숟가락만 언져먹고나갓지 ㅋㅋ	0
먼 매력에 끌렸는지 .. 그리 잘생긴 얼굴도 아닌데 하라가 넘 아까운디 ..	1
이거 보러옴 진짜 개잘생겼다	1
쌍방 잘한거 하나도 없다	1
원작하고 나이가 안맞아서 그렇지 차승원 김사랑이 했으면 딱이었을것같다	1
쯔양이랑 인성 비교된다.. 관두고 진짜 미안해야 할 인간들은 뻔뻔하게 감성팔이하고 안 관두지.. 뭐 어디 유튜브만 그렇겠냐만은	1
이런 김정은 똥꼬빠는 문재인은 제정신이아닌거겠지? 인권변호사였던 인간이고 대통령인데 또 행방불명에 눈차보고 아무말못하고 주둥이 닫고있겠지	0
ㅉㅉ 아빠 없이 무슨.... 친가 뿌리와 족보는 제대로 알려주고 키울지 걱정이구먼	0
도랐네.. 포퓰리즘 그만해라! 대통령병 걸려서 큰일이네 이색ㅇ기	0
아니 말투가 거슬림 느낌살아있네 이런거 듣기 싫어..	1
유건선배 응원합니다-!!멋지고 착한 자랑스런 배우 유건-!!!!	1
우리나라는 팩트 필요없음 ㅋㅋ 박근혜도 돈하나 안받고 탄핵됨 ㅋㅋ	0
카리스마는 진짜 세계탑인듯	1
고인은 조용히 보내주자	1
엠빙심이 엠빙심했군....	0
니 아들래미가 술쳐먹고 아이들 치고 뺑소니 치는건데 실행 불가능한거 아니냐?	0
어딜봐서 임현주가 여우? 좋아하는 남자 앞에서 표현도 못하나.	1
결혼 가즈아~~~ 겉껍데기(외모+돈)을 좋아하는 사람들이 많은 이 세상에 마음이나 성격을 보고 사람을 선택할 줄 아는 눈을 가진 세아씨가 멋지고 부럽네요.	1
그러고보니 지들 일상은 이렇게 자발적으로 묻지도 않았는데 일일이 보고하면서 결식은 무슨 유난이라고 그리 비공개로 했대냐	0
현아 건더리지마라 큐브 붕 신발들아....지대로 아티스트 키우지도 못하던것들이	0
두시간 동안 괜찮게봤는데 괜히 트집이네;; 아마 블랙리스트여서 일베들 더 난리치는듯	0
너나 많이 쳐 잡숴	0
분명히 진짜 재밌게 봤는데 제대로 한번 더 보고싶다	1
응 근데 ㅅㅂ 고졸 무스펙인데 따도 할수있으려나 모르겠다 다시 노가다나 해야하나	0
아니 김도균도 장미한테 계속 여지줬고 오영주도 이규빈한테 여지줬는데 왜들 현우랑 현주한테만 뭐라하는지ㅋㅋㅋ	1
음주운전..하아 진짜.. 사형제도 부활시키자 제발..	1
사랑과 전쟁이 현실로...	1
이 부부가 너네한테 죄 졌니? 이휘재만큼 너네가 오랜기간 동일하게 일 할 수 있는지 묻고싶다.. 본인이 일 해한 돈으로 사는데 왜 그렇게들 꼬여있냐..연예인이라 돈 많이 벌어서? 욕하는 너넨 연예인 할만큼 노력도 못해	1
짜고연출하는 상황극...	1
이순재님 배우자입장에서 많이 불쾌하시었을듯제3자가 봐도 불쾌한것이...	1
경찰버려도 되네 지능 무력 혼자다가능	0
갑자기 씹창렬됨 개새끼들	0
빠따로 전신마사지해주는데 모든사람들이 너무 기분좋았는지 엎드려서 잠만자더라	0
무슨소리야 절므니 차가 얼메 조은데	1
이민기 연기보믄 서현진 돋보이지 로코퀸은 좀...	1
찐따는 ㅇㅂ	0
반박해주고 싶은데 0렙이라 분탕 가능성 높네 앤 한국당 의원 구성원 보고와라 ㅂㅅ아	0
2009년 였나 군화 닦을때 일 이병은 바닥에서 군화 떨어지면 안되었는데 지금 생각해도 어이없는 규칙	1
게스트별로여도 차태현땜에 볼듯	1
이성경님 캐스팅은 좀 아쉽습니다	1
그냥 무작정 까고보네 미성년자도 결혼할수있는거고 나이처먹고도 애지우려드는 너희들보다 훨 떳떳하구만 지금도 비방댓글 달면서 부모님 등골뽑아먹는것들이 부들대는거봐라 인생이 늘 불만이네	0
꿀잼 ㅠㅠ	1
말씀 너무 잘하시네요~~ 멋지십니다 짝짝	1
이래서 이재명이 되면 안된다는거다.	1
편하게 보시면 될걸 아나운서처럼 또박또박 말을 완벽하게 해야되나 완벽한 사람만을 원하니 문제다	1
솔직히 기안84 정말 싫어한다. 하지만 이번 논란에는 반대한다. 1을 표현했는데 2라고 하면서 욕하면....이미 기안84는 수정하고 사과한거 아닌가?? 그렇게 할거면 영화에서 노출신 나오거나 술집 아가씨 나오면 똑같이 국민청원 해라. 외국영화 드라마에도 똑같이 해봐	1
예비군이랑 비교하는 새낀 정신머리가 있는거노ㅋㅋ	0
구혜선.. 더러운 뱀같은 구차스런 에휴.. 얍삽한년 바짓가랑이 붙잡고 늘어지는 방법이 차암 천박해 ㅉㅉ	0
송지효도 어울리는데 홍진영은 넘사벽이지 워낙 잘 어울려서 ㅋㅋ	1
여주가있는이유는 마지막은 여자랑되겧ㄴ게원칙인데 ....제발 작가님 제발 ^^ 둘이그냥 다시만나게해줘요제발 ^^	1
최근에 본 영상중에 제일 유익한거 같아요. 제목은 머리가 좋은 아이로 키우는 방법 이지만 사실 사랑 관심 경험의 기회 좋은 모델링과 같은 아이의 need를 충족해 주어 행복한 아이로 자라면 자동적으로 여러방면에서 '머리좋은' 아이로 자라 자신감 넘치는 한 인격체로서 살아갈 수 있도록 제일 좋은 발판을 줄 수 있다는 메세지 인거 같아요.	1
애를 자꾸 낳으라구 하지 말구 있는 애들이나 주켜 줘야 할꺼 아나야.. 언제까지 술 마시면 안일하게 처리할껀데	1
배가 아니라 사과를 썼다고 해도 소송할 근거가 되나. 사과에 특허냈냐 ㅋㅋ	1
ㅅㅂ완전 악마군. 하루속히 북한 정권 무너지길	0
내가 아는 딩크분들 40대부터는 아이를 부러운 모냥이다아이가 있으면 더 화목한 가정이된다	1
꼬시다 꼬수워노가다 세끼들 제발 좌파해라 쪽팔린다	0
완전 기대되네요 ㅋㅋㅋ 스캐 나온거랑 어떻게 다를지 궁금ㅋㅋ	1
차예련의 명품사랑ㅎㅎ.. 저번달에 백화점에서 명품 쓸어가드만	1
성형에 대한 내용이현실감있게와닿았다.	1
김숙씨 힘냅시다 유일하게 데뷔때 부터 좋아했던 개그우먼인데 ㅠㅠ삼가 고인의 명복을 빕니다	1
저 여자들 중에 제대로 정치할 사람이 얼마나 있을지?????	0
어이 황똘 이넘아 너가 책임지고 가서 막아라. 멍멍이 보다 못한 매국노중의 매국노가 영웅을 괴롭힌다. 현씨 당신은 누가 뭐라고 해도 공익제보자이자 따블당 매국노를 막는 구국의 영웅이다	0
부모가 범죄자지 마닷이 범죄자는 아니잖아 이 미친인간들아	0
재밌긴한데 기억에 남을 영화는 아닌듯	1
여자도 출신이 의심스러움.사랑했던관계라기보다는남자발목잡으려고 그러는거같은데..	0
기자새끼 지랄한다	0
역대급 추한 댓글	0
밑에껀 꼴리는데	0
함소원 예쁘다. 두분이 점점 닮아가시네요.	1
아니 근데... 현실이 아니잖냐. 만화고... 영화.드라마.소설 기타등등 작거라는게 존재하는 다른 창작물에는 강간이 안나오나? 저번부터 왜 만화에 꽂혀서 ㅈㄹ인가? 현실과 가상은 구분 좀하자. 마치 남오타쿠 ㅅㄲ들이 2d에 빠져 허우적대는것처럼 느껴진다.	0
돼지같은 아줌마보다 훨씬 이쁨 ㅋㅋ	0
이감독은 어떻게 이런 생각들을 하는거지....	1
죽은이 앵간이 우려먹어라 상먼의미	0
완벽한타인의 준모부부가생각나네.전국민에게폰이공개된듯한 느낌?	1
원숭이 사쿠라 핑크당의 자위대 간부!	0
그렇게 단정지어 말하는 근거가 대체 뭐임?그정도로 확실한 상관관계가 있다고 입증하기 존나 어려워보이는데근거가 되는 논문이나 연구결과 있으면 알려주셈	0
잘생겼는데 얼굴 아깝다	1
병신아 걍 인터넷에 찾아보면 되지	0
정말 민주당 답이 없는 애들만 모여있구나	1
형 이때로 돌아가...아이돌 같에	1
파크랜드 광고찍냐 정장오지네	1
Xx같은 한국 x 같은법 이라는 승리놈하고 클럽 뭐 어쩌고 관련잇던애 아니엇나? 그런데 얼쩡거리고 드나들던애들 연예계 방송가에서 퇴출하지? 여자연예인들이 인물이 그리도 없어? 내가 추천 좀해주까?	0
펭수가머가귀엽노?? 얼굴이노무하얗고 눈은무섭고 입도이상한데..	0
뭐 여자들은 가슴살 노출은 노출이라고 생각 안하잖아?꼭지만 가리면 된다고 생각하는거 아녀?윗가슴이나 아래가슴이나 같은 젖인데..	0
연기의신 나문희선생님 압승	1
가부장제 한남은 도태가 답이지	0
국주씨 활동 많이 안하시는듯 활동 많이 해주세요 이뻐요 화이팅	1
배달비 보다는 사실 음식 쳐 빼먹는 못 쳐 배워먹은 씹새끼들 땜에 욕함	0
신선해서 좋았음~!!!	1
온유리가 부사장 딸 아니고 내연녀인데 그게 들통나서 딸이라고 한게 맞아요.????	1
도끼가 얼핏 비호감(?) 스러운 언행을 했을지 몰라도 실상 보자면 쇼미도 심사위원에서 도끼 더콰이엇 빠진 이후로 질이 급락;;했고.... 힙합계에서 이정도로 신사적으로 깔끔하게 음악 한 사람도 별로 없어요	1
윤진이가 연기를 잘하는것임	1
왜 유이는뭐든 잘하는대 유이 기사에는 악플이많는지 난개인적으로 유이 참좋아하는 배우 앞으로 쭉 잘 나갔으면 수지보다 유이가 더 짱ㆍ	1
붕신같은 정책으로 꼴.수들한테 뜯기니까 기분 개드럽네	0
이여자야 치사 하구나 니가 조심해야지 얘 가질려구 한것도 아니고 둘다 즐기려다 생긴거 생긴대로 났다가는 고아원 자리없다 억울하연 질투하지 말고 보란듯 잘살지	0
현대차 광고기사네요..ㅠㅜ	1
이쁘네 ㅋㅋㅋ 오크먜갈년들 또 심통난거냐 ? 왜 ㅂㄷㅂㄷ 욕하고난리냐 ㅋㅋㅋ 하긴 니네면상은 견적이안나오니 ㅋㅋ	0
저런년들 팅기다가 일단 빠구리 시작하면 신들린듯이한다	0
빡대가리인 내가 이해하기엔 너무나 어려운걸?	1
오늘은 너로 정했다.	0
꺼져 죽어	0
아니 근데 면접을 보고 왜 다른 사람 참관을해 ㅋㅋ	1
잘됐네! 당신네 선원들부터 접종해서 내보내시오! 다른나라에 코로나 퍼트리지 말고!	1
여기 오십대 육십대 딱딱이 분들은 아들 군대갔는데 수술하면 전화안할거요? 장관 아들도 그 누군가의 아들일뿐이데 멀 그렇게 지랄들이슈?쯧쯧	0
정상인 부부 다들 이들같다면	1
사랑아ㅜㅜ너가 휠체어타는 불구가 되더라도 결혼해줄게 걱정마 ㅎ	0
자막입힌 영상만드시느라 고생하셨을듯요.재밌게 잘 봤어요~	1
와 씨발 진짜 성형했네.관심있게 봤음 충분히 이상하다고 느낄 부분이였는데...진짜 노짱은 그래도 성형한다고 솔직히 말하고(지 눈썹찔린다고 안검하수..) 했는데이새낀 다 역겹네. 거짓말이 아예 베었어 퉷	0
잘 하실 거예요. 화이팅 입니다~	1
저못생긴 적폐형제 안보게되소 좋다	0
삼시세끼 고고	1
한국 들어오는 러시아 선원들부터 맞춰서 보내라.우리나라에 민폐끼치지 말고.	1
징그러 구역질 난다.	0
잘못한게 없는데 뭔가 잘못한 사람 같음	1
지가 이완맥그리거인줄알고 이완쓴 허접?	1
여행갔다 하은이랑 셋이서 여행오신거 봤는데 딸과 너무잘놀아주시고 인사도 먼저해주시고 이쁜가족이였어요~ 네가족 행복하세요^^	1
애초부터 김용호 걔는 <기생충>도 종북좌파의 산물이라고 말같지 않는 개소릴해대는 놈이어서 믿고 걸렀다.	0
멧돼지년들 엄마 설거지도 안도와주면서 지럴이란 지럴은 골라서들해요	0
저걸로 기분 나쁠까? ㅋㅋ 귀엽노 북한쉐리들	0
무플방지위원회에서 왔습니다 신세경님 항상 건강하세요	1
눈에 슬픔이 보인다	1
예랑 예랑 하길레 여자 이름인줄 알았더니 예비신랑이었던 거냐?니미...	0
백종원 선생님 덕분에 요리 해먹고 살아요 ㅎㅎ 가족들이 폭풍 칭찬합니다! 살면서 이런 칭찬은 처음입니다 ㅋㅋ	1
드라마에 욱일기 쳐넣는 감독이나 작가나 또라이들이네	0
여자 땡잡았네ㅋㅋ여자들 돈벌기 참 쉬워	0
돼지페미악플러년들이 죽여놓고 남탓은 ㅉㅉ	0
평생 yg에 못숨바쳐 일하세요그돈으로 약빨고 노름하고누군가는 그리살겠죠 !!!!!!	0
키먼할 때문에 현망진창...한 번 보면 멈출 수가 없다...	1
죽은 최진실도 거의 닮지도 않은애가단지 진실이딸인것 뿐인데~본인이 엄마처럼 대스타인양 관심 받고싶은건지.......정상 아닌듯너 오빠처럼 조용히 살지.......	0
진짜 매력쩔어....볼수록매력적...질리지가않음	1
난 왜 이렇게 사람을 죽여가는 드라마를쓰는지눈물도 안 나오고 헛웃음만 시간아깝다김소연 최명길연기만 보려고 했는데 오늘로땡	1
기자라는 직업은 기본적으로 예의가 없어야 하는 직업인가? 남의 사생활을 이렇게 맘대로 다뤄도 되는건가 생각해봐야함.	1
목사한테 빤쓰내림!	0
두분 잘어울리는데요..	1
짱깨유학생한테 들었는데 지들도 지네나라 식품 못믿어서 저러는거라카더라. 비닐포장되어있는것도 다 찢어서 만져보고 산다고함 ㅋㅋ	0
